B,EUR_freq,AFA_freq,API_freq,HIS_freq
4501g,0.00426,0.04502,0.00226,0.01526
4601,0.00000,0.00000,0.06112,0.00000
4701,0.00235,0.00124,0.00028,0.00300
4702,0.00006,0.00000,0.00000,0.00000
4703,0.00000,0.00041,0.00000,0.00025
4801g,0.00051,0.00021,0.02037,0.02151
4802,0.00000,0.00021,0.00000,0.00025
4803,0.00000,0.00000,0.00141,0.00075
4804,0.00000,0.00000,0.00085,0.00000
4901,0.01341,0.02822,0.00113,0.02351
5001,0.00807,0.00934,0.00736,0.01451
5002,0.00013,0.00021,0.00000,0.00100
5101g,0.04544,0.02178,0.06282,0.05778
5102,0.00006,0.00041,0.00623,0.00550
5105,0.00013,0.00000,0.00000,0.00000
5106,0.00000,0.00000,0.00255,0.00025
5107,0.00025,0.00000,0.00085,0.00100
5108,0.00057,0.00000,0.00085,0.00150
5109,0.00044,0.00083,0.00000,0.00000
5114,0.00000,0.00000,0.00000,0.00050
5119,0.00006,0.00000,0.00000,0.00000
5137,0.00000,0.00000,0.00028,0.00000
5201g,0.00960,0.01432,0.03679,0.02676
5301,0.00324,0.11245,0.00085,0.01551
5401,0.00000,0.00000,0.03282,0.00025
5501,0.01729,0.00415,0.00538,0.01051
5502,0.00000,0.00000,0.01585,0.00000
5512,0.00000,0.00000,0.00028,0.00000
5601,0.00496,0.00228,0.00792,0.00350
5602,0.00000,0.00000,0.00028,0.00000
5603,0.00000,0.00000,0.00141,0.00000
5604,0.00000,0.00000,0.00141,0.00000
5701,0.03832,0.00477,0.02066,0.01176
5702,0.00038,0.00415,0.00000,0.00025
5703,0.00032,0.03382,0.00000,0.00675
5704,0.00000,0.00290,0.00000,0.00000
5801g,0.00470,0.03506,0.05772,0.01451
5802,0.00006,0.04108,0.00000,0.00450
5901,0.00000,0.00000,0.00821,0.00000
6701,0.00006,0.00000,0.00255,0.00000
6702,0.00000,0.00021,0.00000,0.00000
7301,0.00019,0.00000,0.00028,0.00125
7801,0.00000,0.01328,0.00000,0.00125
7802,0.00000,0.00021,0.00000,0.00000
8101g,0.00000,0.01950,0.00085,0.00250
8201,0.00000,0.00166,0.00000,0.00000
8202,0.00000,0.00062,0.00000,0.00000
